word1-translated	word2-translated	conc(w1)
پرانا	نئی	2.72
ہوشیار	ذہین	1.75
سخت	مشکل	3.76
خوش ہوں	خوشگوار	2.56
سخت	آسان	3.76
تیز	تیز رفتار	3.32
خوش ہوں	خوش ہوں	2.56
مختصر	طویل	3.61
بیوقوف	گونگا	1.75
عجیب	عجیب	1.59
وسیع	تنگ	3.06
برا	خوفناک	1.68
آسان	مشکل	2.07
برا	خوفناک	1.68
سخت	سادہ	3.76
ہوشیار	گونگا	1.75
پاگل	پاگل	1.77
خوش ہوں	پاگل	2.56
بڑی	بہت بڑا	3.37
سخت	مشکل	3.76
نئی	تازه	2.81
تیز	سست	3.86
فوری	تیز رفتار	2.89
گونگا	بیوقوف	2.36
حیرت انگیز	خوفناک	1.82
عجیب	طاق	1.86
خوش ہوں	ناراض	2.56
تنگ	وسیع	3.04
سادہ	آسان	1.62
پرانا	تازه	2.72
واضح	واضح 	1.73
سستی	سستا	2.22
اچھا	بے لوث	2.18
عجیب	عام	1.59
عجیب	طاق	1.59
برا	غیر اخلاقی	1.68
اداس	مضحکہ خیز	3.07
حیرت انگیز	زبردست	1.82
مجرم	شرمندہ	2.36
خوبصورت	حیرت انگیز	2.16
اعتماد	یقیناً	2.62
گونگا	گھنے	2.36
بڑی	بڑا	3.37
اچھا	ظالمانہ	2.18
بے حد	فکر مند	2.38
بڑا	وسیع	3.66
مضبوط	مغرور	3.14
غیر ضروری	ضروری 	1.56
بے حد	نوجوان	2.46
گونگا	ذہین	2.36
برا	زبردست	1.68
مشکل	سادہ	2.21
ضروری 	اہم 	1.8
برا	خوفناک	1.68
پاگل	خوش	2.76
ایماندار	مجرم	1.66
آسان	مشکل	2.07
آسان	لچکدار	2.07
کچھ	یقین ہے	1.68
ضروری	ضروری	1.52
مختلف	عام	1.97
مہلک	ہوشیار	2.03
اہم	اہم	2.08
سخت	ظالمانہ	2.23
بچپن	بیوقوف	2.52
کمر	نایاب	2.57
دوستانہ	بے لوث	2.32
خراب	فریب	2.86
طویل	تنگ	3.18
بڑا	بھاری	3.66
کهردرا	فریب	3.83
عجیب	عجیب	1.79
غیر قانونی	غیر اخلاقی	2.37
برا	مجرم	1.68
جدید	قدیم	2.31
نئی	قدیم	2.81
سست	مضحکہ خیز	2.37
خوش	نوجوان	2.56
آسان	بڑا	2.07
زبردست	خوفناک	1.81
چھوٹے	بہت بڑا	3.11
شائستہ	مناسب	1.85
معمولی	شرمندہ	2.21
غیر ملکی	نایاب	2.11
گونگا	ہوشیار	2.36
خوشگوار	حیرت انگیز	2.38
قابل ذکر	واضح	2.29
ڈر	فکر مند	2.7
رسمی	مناسب	2.7
ڈریری	سست	2.33
خوشگوار	خوشگوار	2.38
ناخوش	پاگل	2.04
اداس	خوفناک	3.07
بیمار	پاگل	2.97
پرتشدد	ناراض	3.1
لادن	بھاری	2.96
گندی	سستا	4.23
لچکدار	لچکدار	3.73
سخت	گھنے	3.76
حال ہی میں	نئی	2.5
جرات مندانہ	فخر	2.43
مہلک	عجیب	2.03
عجیب	مہلک	1.86
گونگا	نایاب	2.36
مہلک	مشکل	2.03
خوفناک	پاگل	2.07
معمولی	لچکدار	2.21
تازه	وسیع	1.97
بہت بڑا	گونگا	3.54
بڑی	لچکدار	3.37
گندی	تنگ	4.23
بیوی	شوہر	4.13
کتاب	متن	4.9
دولہا	دلہن	4.54
رات	دن	4.52
جنوب	شمال	3.84
ہوائی جہاز	ہوائی اڈے	4.92
چاچا	چاچی	4.24
گھوڑے	ہمارا	5.0
نیچے	اوپر	4.25
دوست	دوست	3.07
طالب علم	طالب علم	4.92
دنیا	دنیا	4.36
ٹانگ	بازو	4.83
ہوائی جہاز	جیٹ	4.92
عورت	آدمی	4.46
گھوڑے	کالٹ	5.0
اداکارہ	اداکار	4.54
استاد	انسٹرکٹر	4.52
فلم	فلم	4.59
پرندہ	ہاک	5.0
لفظ	لغت	3.56
پیسہ	تنخواہ	4.54
کتا	کیٹ	4.85
رقبہ	خطے	3.72
بحریہ	فوج	3.93
کتاب	ادب	4.9
کپڑے	الماری	4.76
غروب آفتاب	طلوع آفتاب	4.54
بچہ	بالغ	4.78
گائے	مویشیوں	4.96
کتاب	کہانی	4.9
موسم سرما	موسم گرما	3.84
ٹیکسی	ٹیکسی	4.93
درخت	میپل	5.0
بستر	بیڈروم	5.0
چھت	چھت	4.79
بیماری	انفیکشن	3.45
بازو	کندھے	4.96
بھیڑ	میمنے	4.9
خاتون	سلیمان	4.33
کشتی	لنگر	4.93
پادری	بندر	4.77
پیر	انگلی	4.93
دریا	ندی	4.89
غصہ	غصہ	2.41
تاریخ	کیلنڈر	3.9
سمندر	سمندر	4.79
دوسرا	منٹ	3.3
ہاتھ	انگوٹھے	4.72
لکڑی	لاگ ان	4.85
مٹی	گندگی	4.86
دالان	راہداری	4.74
راستہ	انداز	2.34
ماؤس	کیٹ	4.83
پولیس	شیرف	4.3
موت	دفن	3.73
موسیقی	مہودی	4.31
بیئر	شراب	4.88
منہ	ہپ	4.74
طوفان	طوفان	4.7
ٹیکس	آمدنی	3.89
پھول	وایلیٹ	5.0
کاغذ	گتے	4.93
فرش	چھت	4.8
ساحل سمندر	سمندر	4.79
چھڑی	پردے	4.43
ہاؤنڈ	لومڑی	4.48
سڑک	گلی	4.75
کشتی	ڈیک	4.93
کار	سینگ	4.89
دوست	مہمان	3.07
آجر	ملازم	3.81
ہاتھ	کلائی	4.72
گیند	تپ	5.0
شراب	برینڈی	4.76
فتح	فتح	2.55
ٹیلی فون	بوٹ	4.96
دروازہ	راہ گزر	4.81
موٹل	سرائے	4.93
کپڑے	کپڑا	4.76
سٹیک	گوشت	4.96
کیل	انگوٹھے	4.93
بینڈ	آرکسٹرا	4.68
کتاب	بائبل	4.9
کاروبار	صنعت	3.28
موسم سرما	موسم	3.84
دہائی	صدی	3.19
شراب	گن	4.76
ٹوپی	کوٹ	4.88
ونڈو	دروازہ	4.86
بازو	کلائی	4.96
گھر	اپارٹمنٹ	5.0
گلاس	کرسٹل	4.82
شراب	برینڈی	4.79
خالق	بنانے والا	3.07
رات کا کھانا	ناشتہ	4.5
بازو	پٹھوں	4.96
بلبلا	سوڈ	4.6
روٹی	آٹا	4.92
موت	سانحہ	3.73
عدم موجودگی	موجودگی	2.31
بندوق	تپ	4.83
گھاس	بلیڈ	4.93
گیند	ٹوکری	5.0
نلی	باغ	4.87
لڑکا	بچہ	4.76
چرچ	کوائر	4.9
کپڑے	دراج	4.76
ٹاور	گھنٹی	4.76
باپ	والدین	4.52
اسکول	گریڈ	4.79
والدین	بالغ	4.56
بار	جیل	4.67
کار	ہائی وے	4.89
لغت	تعریف	4.62
دروازہ	سیلار	4.81
فوج	بڑا لشکر	4.7
دھاتی	ایلومینیم	4.87
کرسی	بینچ	4.58
بادل	دھند	4.54
لڑکا	بیٹا	4.76
پانی	برف	5.0
بستر	کمبل	5.0
اٹارنی	وکیل	4.52
رقبہ	زون	3.72
کاروبار	کمپنی	3.28
کپڑے	کپڑے	4.76
سویٹر	جیکٹ	4.78
پیسہ	دارالحکومت	4.54
ہاتھ	پاؤں	4.72
شراب	کاکلا	4.76
یارڈ	انچ	4.82
انو	ایٹم	3.27
لینس	کیمرے	4.64
کھانا	رات کا کھانا	4.62
آنکھ	آنسو	4.9
